visual_or_object_ref,pass83_ref_class,entry_count,groups,domains,roles,example_entries
$00B8,low_immediate_param_or_small_id,4,$00:1 $04:1 $07:1 $08:1,npc_family_event_visual_context:3 general_livestock_visual_context:1,cc_object_visual_pointer_setup:4,$00:28@$B38E5D $04:7@$B3CBA5 $07:7@$B3E037 $08:7@$B3E59A
$01BF,low_immediate_param_or_small_id,4,$00:4,general_livestock_visual_context:4,cc_object_visual_pointer_setup:4,$00:100@$B3916E $00:101@$B3917B $00:102@$B39188 $00:103@$B39195
$01CB,low_immediate_param_or_small_id,4,$00:4,general_livestock_visual_context:4,cc_object_visual_pointer_setup:4,$00:96@$B3913A $00:97@$B39147 $00:98@$B39154 $00:99@$B39161
$8504,candidate_visual_gobj_pointer_or_asset_table,4,$00:4,general_livestock_visual_context:4,cc_object_visual_pointer_setup:4,$00:48@$B38FAF $00:48@$B38FAF $00:49@$B38FC3 $00:49@$B38FC3
$B39D,bank_b3_b5_script_target_or_local_pointer,4,$01:4,general_livestock_visual_context:4,cc_object_visual_pointer_setup:4,$01:1@$B39D05 $01:1@$B39D05 $01:1@$B39D05 $01:1@$B39D05
$B3A4,bank_b3_b5_script_target_or_local_pointer,4,$01:4,dog_pet_visual_context:4,cc_object_visual_pointer_setup:4,$01:5@$B3A438 $01:5@$B3A438 $01:5@$B3A438 $01:5@$B3A438
$B3CA,bank_b3_b5_script_target_or_local_pointer,4,$04:4,npc_family_event_visual_context:4,cc_object_visual_pointer_setup:4,$04:5@$B3CA98 $04:5@$B3CA98 $04:5@$B3CA98 $04:5@$B3CA98
$B3EE,bank_b3_b5_script_target_or_local_pointer,4,$0B:4,npc_family_event_visual_context:4,cc_object_visual_pointer_setup:4,$0B:10@$B3EEEA $0B:10@$B3EEEA $0B:10@$B3EEEA $0B:10@$B3EEEA
$B580,bank_b3_b5_script_target_or_local_pointer,4,$43:4,general_livestock_visual_context:4,cc_object_visual_pointer_setup:4,$43:0@$B58020 $43:0@$B58020 $43:0@$B58020 $43:0@$B58020
$B599,bank_b3_b5_script_target_or_local_pointer,4,$44:4,general_livestock_visual_context:4,cc_object_visual_pointer_setup:4,$44:0@$B597F1 $44:0@$B597F1 $44:0@$B597F1 $44:0@$B597F1
$B59D,bank_b3_b5_script_target_or_local_pointer,4,$44:4,general_livestock_visual_context:4,cc_object_visual_pointer_setup:4,$44:2@$B59BE3 $44:2@$B59BE3 $44:2@$B59BE3 $44:2@$B59BE3
$B5A2,bank_b3_b5_script_target_or_local_pointer,4,$45:4,npc_family_event_visual_context:4,cc_object_visual_pointer_setup:4,$45:0@$B5A205 $45:0@$B5A205 $45:0@$B5A205 $45:0@$B5A205
$FFF8,high_bank_pointer_or_immediate_word,4,$24:4,npc_family_event_visual_context:3 general_livestock_visual_context:1,cc_object_visual_pointer_setup:4,$24:0@$B4A475 $24:1@$B4A531 $24:2@$B4A55D $24:3@$B4A589
$0040,low_immediate_param_or_small_id,3,$00:3,general_livestock_visual_context:3,cc_object_visual_pointer_setup:3,$00:48@$B38FAF $00:51@$B38FDB $00:52@$B38FE8
$009C,low_immediate_param_or_small_id,3,$04:1 $06:1 $08:1,cow_livestock_visual_context:2 general_livestock_visual_context:1,cc_object_visual_pointer_setup:3,$04:6@$B3CB60 $06:6@$B3D99B $08:6@$B3E560
$0148,low_immediate_param_or_small_id,3,$00:3,dog_pet_visual_context:2 general_livestock_visual_context:1,cc_object_visual_pointer_setup:3,$00:37@$B38F03 $00:134@$B39313 $00:135@$B39313
$0268,mid_range_value_or_table_offset,3,$00:3,general_livestock_visual_context:3,cc_object_visual_pointer_setup:3,$00:51@$B38FDB $00:52@$B38FE8 $00:53@$B38FF5
$02AF,mid_range_value_or_table_offset,3,$00:1 $04:1 $07:1,general_livestock_visual_context:3,cc_object_visual_pointer_setup:3,$00:33@$B38EAA $04:6@$B3CB60 $07:6@$B3DFCE
$8144,candidate_visual_gobj_pointer_or_asset_table,3,$00:3,chicken_poultry_visual_context:2 general_livestock_visual_context:1,cc_object_visual_pointer_setup:3,$00:2@$B38CDE $00:2@$B38CDE $00:93@$B3911D
$8240,candidate_visual_gobj_pointer_or_asset_table,3,$24:2 $00:1,npc_family_event_visual_context:2 general_livestock_visual_context:1,cc_object_visual_pointer_setup:3,$00:44@$B38F77 $24:2@$B4A55D $24:3@$B4A589
$8378,candidate_visual_gobj_pointer_or_asset_table,3,$00:2 $06:1,general_livestock_visual_context:2 cow_livestock_visual_context:1,cc_object_visual_pointer_setup:3,$00:33@$B38EAA $00:35@$B38EE0 $06:6@$B3D99B
$8768,candidate_visual_gobj_pointer_or_asset_table,3,$00:3,general_livestock_visual_context:3,cc_object_visual_pointer_setup:3,$00:19@$B38DBC $00:74@$B390AB $00:128@$B392D0
$B584,bank_b3_b5_script_target_or_local_pointer,3,$43:3,dog_pet_visual_context:2 general_livestock_visual_context:1,cc_object_visual_pointer_setup:3,$43:0@$B58020 $43:1@$B584DA $43:1@$B584DA
$B59F,bank_b3_b5_script_target_or_local_pointer,3,$44:3,general_livestock_visual_context:3,cc_object_visual_pointer_setup:3,$44:3@$B59DD3 $44:3@$B59DD3 $44:3@$B59DD3
$B5A4,bank_b3_b5_script_target_or_local_pointer,3,$45:3,npc_family_event_visual_context:3,cc_object_visual_pointer_setup:3,$45:0@$B5A205 $45:3@$B5A484 $45:3@$B5A484
$FFE0,high_bank_pointer_or_immediate_word,3,$00:3,general_livestock_visual_context:3,cc_object_visual_pointer_setup:3,$00:33@$B38EAA $00:38@$B38F11 $00:124@$B3922A
$0000,low_immediate_param_or_small_id,2,$45:2,npc_family_event_visual_context:2,cc_object_visual_pointer_setup:2,$45:0@$B5A205 $45:3@$B5A484
$0005,low_immediate_param_or_small_id,2,$00:2,general_livestock_visual_context:2,cc_object_visual_pointer_setup:2,$00:33@$B38EAA $00:38@$B38F11
$0020,low_immediate_param_or_small_id,2,$00:2,general_livestock_visual_context:2,cc_object_visual_pointer_setup:2,$00:35@$B38EE0 $00:125@$B39241
$0048,low_immediate_param_or_small_id,2,$00:2,general_livestock_visual_context:2,cc_object_visual_pointer_setup:2,$00:21@$B38DE5 $00:127@$B392B3
$00A8,low_immediate_param_or_small_id,2,$01:1 $02:1,general_livestock_visual_context:1 npc_family_event_visual_context:1,cc_object_visual_pointer_setup:2,$01:1@$B39D05 $02:1@$B3B44A
$0108,low_immediate_param_or_small_id,2,$00:1 $2D:1,general_livestock_visual_context:1 npc_family_event_visual_context:1,cc_object_visual_pointer_setup:2,$00:26@$B38E33 $2D:0@$B4C5A4
$0120,low_immediate_param_or_small_id,2,$00:2,dog_pet_visual_context:2,cc_object_visual_pointer_setup:2,$00:134@$B39313 $00:135@$B39313
$013A,low_immediate_param_or_small_id,2,$00:2,dog_pet_visual_context:2,cc_object_visual_pointer_setup:2,$00:134@$B39313 $00:135@$B39313
$0188,low_immediate_param_or_small_id,2,$00:1 $08:1,general_livestock_visual_context:2,cc_object_visual_pointer_setup:2,$00:27@$B38E48 $08:0@$B3E0DF
