visual_or_object_ref,pass83_ref_class,pass84_resolution_class,pass84_confidence,pass85_semantic_alias,pass85_alias_class,pass85_alias_confidence,entry_count,semantic_visual_family,gobj_id_matches,anim_sequence_matches,source_address_matches,groups,domains,roles,example_entries,pass86_semantic_alias,pass86_resolution_class,pass86_alias_confidence,pass86_resolution_note
$8780,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_8780_code_banks_bank_81_data_banks_bank_86,context_source_address_not_final_gobj,medium,1,general_livestock,,,$818780:Bank81_HeldItemMapActionBranch_818780:src/code_banks/bank_81.asm:957 | $868780:<data>:src/data_banks/bank_86.asm:126 | $878780:<data>:src/data_banks/bank_87.asm:125 | $888780:<data>:src/data_banks/bank_88.asm:124 | $898780:<data>:src/data_banks/bank_89.asm:124,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:19@$B38DBC,SourceLineRef_general_livestock_8780_code_banks_bank_81_data_banks_bank_86,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$8798,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_npc_family_or_romance_8798_data_banks_bank_B3_data_banks_bank_B8,context_source_address_not_final_gobj,medium,1,npc_family_or_romance,,,$B38798:<data>:src/data_banks/bank_B3.asm:186 | $B88798:<data>:src/data_banks/bank_B8.asm:160,$2B:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$2B:0@$B4C524,SourceLineRef_npc_family_or_romance_8798_data_banks_bank_B3_data_banks_bank_B8,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$87A4,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_npc_family_or_romance_87A4_data_banks_bank_AD,context_source_address_not_final_gobj,medium,1,npc_family_or_romance,,,$AD87A4:<data>:src/data_banks/bank_AD.asm:128,$2A:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$2A:0@$B4C4D8,SourceLineRef_npc_family_or_romance_87A4_data_banks_bank_AD,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$87B0,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_npc_family_or_romance_87B0_code_banks_bank_81_data_banks_bank_86,context_source_address_not_final_gobj,medium,1,npc_family_or_romance,,,$8187B0:<data>:src/code_banks/bank_81.asm:980 | $8687B0:<data>:src/data_banks/bank_86.asm:129 | $8787B0:<data>:src/data_banks/bank_87.asm:128 | $8887B0:<data>:src/data_banks/bank_88.asm:127 | $8987B0:<data>:src/data_banks/bank_89.asm:127,$2C:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$2C:0@$B4C568,SourceLineRef_npc_family_or_romance_87B0_code_banks_bank_81_data_banks_bank_86,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$87BC,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_87BC_data_banks_bank_B6,context_source_address_not_final_gobj,medium,1,general_livestock,,,$B687BC:<data>:src/data_banks/bank_B6.asm:143,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:21@$B38DE5,SourceLineRef_general_livestock_87BC_data_banks_bank_B6,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$8804,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_8804_code_banks_bank_81_data_banks_bank_AD,context_source_address_not_final_gobj,medium,1,general_livestock,,,$818804:<data>:src/code_banks/bank_81.asm:1030 | $AD8804:<data>:src/data_banks/bank_AD.asm:134,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:59@$B3904E,SourceLineRef_general_livestock_8804_code_banks_bank_81_data_banks_bank_AD,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$881C,candidate_visual_gobj_pointer_or_asset_table,unresolved_asset_table_or_immediate,low_needs_manual_sprite_table_decode,InlineAssetOrImmediate_general_livestock_881C,manual_asset_table_decode_needed,low,1,general_livestock,,,,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:110@$B391D6,CCVisualPtr_general_livestock_881C,resolved_cc_visual_pointer_or_animation_resource,medium_contextual,used as ptr/visual argument by CC object visual commands; not a GOBJ catalog ID
$8834,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_8834_data_banks_bank_AD,context_source_address_not_final_gobj,medium,1,general_livestock,,,$AD8834:<data>:src/data_banks/bank_AD.asm:137,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:113@$B391E8,SourceLineRef_general_livestock_8834_data_banks_bank_AD,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$884C,candidate_visual_gobj_pointer_or_asset_table,unresolved_asset_table_or_immediate,low_needs_manual_sprite_table_decode,InlineAssetOrImmediate_general_livestock_884C,manual_asset_table_decode_needed,low,1,general_livestock,,,,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:115@$B391F4,CCVisualPtr_general_livestock_884C,resolved_cc_visual_pointer_or_animation_resource,medium_contextual,used as ptr/visual argument by CC object visual commands; not a GOBJ catalog ID
$8858,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_8858_data_banks_bank_B3_data_banks_bank_B4,context_source_address_not_final_gobj,medium,1,general_livestock,,,$B38858:<data>:src/data_banks/bank_B3.asm:198 | $B48858:<data>:src/data_banks/bank_B4.asm:141,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:81@$B390D5,SourceLineRef_general_livestock_8858_data_banks_bank_B3_data_banks_bank_B4,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$8864,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_8864_data_banks_bank_AD_data_banks_bank_BB,context_source_address_not_final_gobj,medium,1,general_livestock,,,$AD8864:<data>:src/data_banks/bank_AD.asm:140 | $BB8864:<data>:src/data_banks/bank_BB.asm:170,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:82@$B390DB,SourceLineRef_general_livestock_8864_data_banks_bank_AD_data_banks_bank_BB,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$8870,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_8870_data_banks_bank_86_data_banks_bank_87,context_source_address_not_final_gobj,medium,1,general_livestock,,,$868870:<data>:src/data_banks/bank_86.asm:141 | $878870:<data>:src/data_banks/bank_87.asm:140 | $888870:<data>:src/data_banks/bank_88.asm:139 | $898870:<data>:src/data_banks/bank_89.asm:139 | $8A8870:<data>:src/data_banks/bank_8A.asm:139,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:83@$B390E1,SourceLineRef_general_livestock_8870_data_banks_bank_86_data_banks_bank_87,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$887C,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_887C_code_banks_bank_84_data_banks_bank_BB,context_source_address_not_final_gobj,medium,1,general_livestock,,,$84887C:EventScript_SetCCPointerBySlot:src/code_banks/bank_84.asm:1161 | $BB887C:<data>:src/data_banks/bank_BB.asm:173,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:84@$B390E7,SourceLineRef_general_livestock_887C_code_banks_bank_84_data_banks_bank_BB,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$8888,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_8888_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,1,general_livestock,,,$818888:<data>:src/code_banks/bank_81.asm:1106 | $B38888:<data>:src/data_banks/bank_B3.asm:201 | $B48888:<data>:src/data_banks/bank_B4.asm:144,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:85@$B390ED,SourceLineRef_general_livestock_8888_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$88A0,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_88A0_data_banks_bank_86_data_banks_bank_87,context_source_address_not_final_gobj,medium,1,general_livestock,,,$8688A0:<data>:src/data_banks/bank_86.asm:144 | $8788A0:<data>:src/data_banks/bank_87.asm:143 | $8888A0:<data>:src/data_banks/bank_88.asm:142 | $8988A0:<data>:src/data_banks/bank_89.asm:142 | $8A88A0:<data>:src/data_banks/bank_8A.asm:142,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:87@$B390F9,SourceLineRef_general_livestock_88A0_data_banks_bank_86_data_banks_bank_87,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$88B8,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_88B8_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,1,general_livestock,,,$8188B8:<data>:src/code_banks/bank_81.asm:1141 | $B388B8:<data>:src/data_banks/bank_B3.asm:204,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:117@$B39200,SourceLineRef_general_livestock_88B8_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$88C4,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_88C4_data_banks_bank_AD_data_banks_bank_B6,context_source_address_not_final_gobj,medium,1,general_livestock,,,$AD88C4:<data>:src/data_banks/bank_AD.asm:146 | $B688C4:<data>:src/data_banks/bank_B6.asm:163,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:118@$B39206,SourceLineRef_general_livestock_88C4_data_banks_bank_AD_data_banks_bank_B6,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$88CB,candidate_visual_gobj_pointer_or_asset_table,unresolved_asset_table_or_immediate,low_needs_manual_sprite_table_decode,InlineAssetOrImmediate_general_livestock_88CB,manual_asset_table_decode_needed,low,1,general_livestock,,,,$04:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$04:6@$B3CB60,CCVisualPtr_general_livestock_88CB,resolved_cc_visual_pointer_or_animation_resource,medium_contextual,used as ptr/visual argument by CC object visual commands; not a GOBJ catalog ID
$88D0,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_88D0_data_banks_bank_86_data_banks_bank_87,context_source_address_not_final_gobj,medium,1,general_livestock,,,$8688D0:<data>:src/data_banks/bank_86.asm:147 | $8788D0:<data>:src/data_banks/bank_87.asm:146 | $8888D0:<data>:src/data_banks/bank_88.asm:145 | $8988D0:<data>:src/data_banks/bank_89.asm:145 | $8A88D0:<data>:src/data_banks/bank_8A.asm:145,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:119@$B3920C,SourceLineRef_general_livestock_88D0_data_banks_bank_86_data_banks_bank_87,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$88F4,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_88F4_code_banks_bank_83_data_banks_bank_AD,context_source_address_not_final_gobj,medium,1,general_livestock,,,$B888F4:<data>:src/code_banks/bank_83.asm:3906 | $AD88F4:<data>:src/data_banks/bank_AD.asm:149 | $B888F4:Text_1C0_Dialog_Dah:src/data_banks/bank_B8.asm:190,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:90@$B3910B,SourceLineRef_general_livestock_88F4_code_banks_bank_83_data_banks_bank_AD,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$8918,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_8918_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,1,general_livestock,,,$818918:<data>:src/code_banks/bank_81.asm:1211 | $B38918:<data>:src/data_banks/bank_B3.asm:210 | $BB8918:<data>:src/data_banks/bank_BB.asm:187,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:123@$B39224,SourceLineRef_general_livestock_8918_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$893C,candidate_visual_gobj_pointer_or_asset_table,unresolved_asset_table_or_immediate,low_needs_manual_sprite_table_decode,InlineAssetOrImmediate_general_livestock_893C,manual_asset_table_decode_needed,low,1,general_livestock,,,,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:92@$B39117,CCVisualPtr_general_livestock_893C,resolved_cc_visual_pointer_or_animation_resource,medium_contextual,used as ptr/visual argument by CC object visual commands; not a GOBJ catalog ID
$8948,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_dog_pet_8948_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,1,dog_pet,,,$818948:<data>:src/code_banks/bank_81.asm:1245 | $B38948:<data>:src/data_banks/bank_B3.asm:213 | $BB8948:<data>:src/data_banks/bank_BB.asm:190,$00:1,dog_pet_visual_context:1,cc_object_visual_pointer_setup:1,$00:17@$B38D9B,SourceLineRef_dog_pet_8948_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$8954,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_8954_data_banks_bank_AD,context_source_address_not_final_gobj,medium,1,general_livestock,,,$AD8954:<data>:src/data_banks/bank_AD.asm:155,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:62@$B39063,SourceLineRef_general_livestock_8954_data_banks_bank_AD,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$8960,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_8960_data_banks_bank_86_data_banks_bank_87,context_source_address_not_final_gobj,medium,1,general_livestock,,,$868960:<data>:src/data_banks/bank_86.asm:156 | $878960:<data>:src/data_banks/bank_87.asm:155 | $888960:<data>:src/data_banks/bank_88.asm:154 | $898960:<data>:src/data_banks/bank_89.asm:154 | $8A8960:<data>:src/data_banks/bank_8A.asm:154,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:61@$B3905D,SourceLineRef_general_livestock_8960_data_banks_bank_86_data_banks_bank_87,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$896C,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_896C_code_banks_bank_81,context_source_address_not_final_gobj,medium,1,general_livestock,,,$81896C:<data>:src/code_banks/bank_81.asm:1268,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:64@$B3906F,SourceLineRef_general_livestock_896C_code_banks_bank_81,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$8978,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_8978_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,1,general_livestock,,,$818978:<data>:src/code_banks/bank_81.asm:1275 | $B38978:<data>:src/data_banks/bank_B3.asm:216 | $BB8978:<data>:src/data_banks/bank_BB.asm:193,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:65@$B39075,SourceLineRef_general_livestock_8978_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$8984,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_8984_data_banks_bank_AD_data_banks_bank_B9,context_source_address_not_final_gobj,medium,1,general_livestock,,,$AD8984:<data>:src/data_banks/bank_AD.asm:158 | $B98984:<data>:src/data_banks/bank_B9.asm:180,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:66@$B3907B,SourceLineRef_general_livestock_8984_data_banks_bank_AD_data_banks_bank_B9,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$8990,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_8990_code_banks_bank_81_data_banks_bank_86,context_source_address_not_final_gobj,medium,1,general_livestock,,,$818990:<data>:src/code_banks/bank_81.asm:1286 | $868990:<data>:src/data_banks/bank_86.asm:159 | $878990:<data>:src/data_banks/bank_87.asm:158 | $888990:<data>:src/data_banks/bank_88.asm:157 | $898990:<data>:src/data_banks/bank_89.asm:157,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:67@$B39081,SourceLineRef_general_livestock_8990_code_banks_bank_81_data_banks_bank_86,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$899C,candidate_visual_gobj_pointer_or_asset_table,unresolved_asset_table_or_immediate,low_needs_manual_sprite_table_decode,InlineAssetOrImmediate_general_livestock_899C,manual_asset_table_decode_needed,low,1,general_livestock,,,,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:68@$B39087,CCVisualPtr_general_livestock_899C,resolved_cc_visual_pointer_or_animation_resource,medium_contextual,used as ptr/visual argument by CC object visual commands; not a GOBJ catalog ID
$89A8,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_89A8_data_banks_bank_B3_data_banks_bank_B9,context_source_address_not_final_gobj,medium,1,general_livestock,,,$B389A8:<data>:src/data_banks/bank_B3.asm:219 | $B989A8:<data>:src/data_banks/bank_B9.asm:184 | $BB89A8:<data>:src/data_banks/bank_BB.asm:196,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:69@$B3908D,SourceLineRef_general_livestock_89A8_data_banks_bank_B3_data_banks_bank_B9,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$89B4,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_89B4_code_banks_bank_81_data_banks_bank_AD,context_source_address_not_final_gobj,medium,1,general_livestock,,,$8189B4:<data>:src/code_banks/bank_81.asm:1309 | $AD89B4:<data>:src/data_banks/bank_AD.asm:161,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:70@$B39093,SourceLineRef_general_livestock_89B4_code_banks_bank_81_data_banks_bank_AD,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$89C0,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_89C0_code_banks_bank_81_data_banks_bank_86,context_source_address_not_final_gobj,medium,1,general_livestock,,,$8189C0:<data>:src/code_banks/bank_81.asm:1317 | $8689C0:<data>:src/data_banks/bank_86.asm:162 | $8789C0:<data>:src/data_banks/bank_87.asm:161 | $8889C0:<data>:src/data_banks/bank_88.asm:160 | $8989C0:<data>:src/data_banks/bank_89.asm:160,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:71@$B39099,SourceLineRef_general_livestock_89C0_code_banks_bank_81_data_banks_bank_86,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$89CC,candidate_visual_gobj_pointer_or_asset_table,unresolved_asset_table_or_immediate,low_needs_manual_sprite_table_decode,InlineAssetOrImmediate_general_livestock_89CC,manual_asset_table_decode_needed,low,1,general_livestock,,,,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:72@$B3909F,CCVisualPtr_general_livestock_89CC,resolved_cc_visual_pointer_or_animation_resource,medium_contextual,used as ptr/visual argument by CC object visual commands; not a GOBJ catalog ID
$89D8,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_89D8_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,1,general_livestock,,,$8189D8:<data>:src/code_banks/bank_81.asm:1330 | $B389D8:<data>:src/data_banks/bank_B3.asm:222 | $B989D8:<data>:src/data_banks/bank_B9.asm:187,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:73@$B390A5,SourceLineRef_general_livestock_89D8_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$89FC,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_89FC_code_banks_bank_81,context_source_address_not_final_gobj,medium,1,general_livestock,,,$8189FC:<data>:src/code_banks/bank_81.asm:1349,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:77@$B390BD,SourceLineRef_general_livestock_89FC_code_banks_bank_81,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$8A08,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_8A08_data_banks_bank_B3_data_banks_bank_BA,context_source_address_not_final_gobj,medium,1,general_livestock,,,$B38A08:<data>:src/data_banks/bank_B3.asm:225 | $BA8A08:<data>:src/data_banks/bank_BA.asm:181,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:78@$B390C3,SourceLineRef_general_livestock_8A08_data_banks_bank_B3_data_banks_bank_BA,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$8A14,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_8A14_code_banks_bank_81_data_banks_bank_AD,context_source_address_not_final_gobj,medium,1,general_livestock,,,$818A14:<data>:src/code_banks/bank_81.asm:1365 | $AD8A14:<data>:src/data_banks/bank_AD.asm:167,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:79@$B390C9,SourceLineRef_general_livestock_8A14_code_banks_bank_81_data_banks_bank_AD,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$8A20,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_8A20_code_banks_bank_81_data_banks_bank_86,context_source_address_not_final_gobj,medium,1,general_livestock,,,$818A20:<data>:src/code_banks/bank_81.asm:1373 | $868A20:<data>:src/data_banks/bank_86.asm:168 | $878A20:<data>:src/data_banks/bank_87.asm:167 | $888A20:<data>:src/data_banks/bank_88.asm:166 | $898A20:<data>:src/data_banks/bank_89.asm:166,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:80@$B390CF,SourceLineRef_general_livestock_8A20_code_banks_bank_81_data_banks_bank_86,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$90DB,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_90DB_code_banks_bank_81,context_source_address_not_final_gobj,medium,1,general_livestock,,,$8190DB:<data>:src/code_banks/bank_81.asm:2205,$07:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$07:1@$B3DB72,SourceLineRef_general_livestock_90DB_code_banks_bank_81,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$ABA0,candidate_bank_asset_or_table_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_npc_family_or_romance_ABA0_code_banks_bank_83_data_banks_bank_86,context_source_address_not_final_gobj,medium,1,npc_family_or_romance,,,$BAABA0:<data>:src/code_banks/bank_83.asm:4391 | $86ABA0:<data>:src/data_banks/bank_86.asm:704 | $87ABA0:<data>:src/data_banks/bank_87.asm:703 | $88ABA0:<data>:src/data_banks/bank_88.asm:702 | $89ABA0:<data>:src/data_banks/bank_89.asm:702,$01:1,npc_family_event_visual_context:1,cc_object_visual_pointer_setup:1,$01:3@$B3A086,SourceLineRef_npc_family_or_romance_ABA0_code_banks_bank_83_data_banks_bank_86,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B336,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_B336_code_banks_bank_81_code_banks_bank_84,context_source_address_not_final_gobj,medium,1,general_livestock,,,$81B336:<data>:src/code_banks/bank_81.asm:5258 | $84B336:<data>:src/code_banks/bank_84.asm:7015 | $B7B336:<data>:src/data_banks/bank_B7.asm:927 | $BBB336:<data>:src/data_banks/bank_BB.asm:928,$00:1,general_livestock_visual_context:1,cc_object_parameter_state_setup:1,$00:18@$B38DB0,SourceLineRef_general_livestock_B336_code_banks_bank_81_code_banks_bank_84,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B39E,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_B39E_data_banks_bank_B5,context_source_address_not_final_gobj,medium,1,general_livestock,,,$B5B39E:<data>:src/data_banks/bank_B5.asm:837,$01:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$01:1@$B39D05,SourceLineRef_general_livestock_B39E_data_banks_bank_B5,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B3A2,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_dog_pet_B3A2_data_banks_bank_B6_maps_Maps_Graphics,context_source_address_not_final_gobj,medium,1,dog_pet,,,$B6B3A2:<data>:src/data_banks/bank_B6.asm:944 | $80B3A2:MapUnknown45:src/maps/Maps_Graphics.asm:1521,$01:1,dog_pet_visual_context:1,cc_object_visual_pointer_setup:1,$01:4@$B3A162,SourceLineRef_dog_pet_B3A2_data_banks_bank_B6_maps_Maps_Graphics,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B3BA,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_B3BA_code_banks_bank_83_code_banks_bank_84,context_source_address_not_final_gobj,medium,1,general_livestock,,,$B7B3BA:<data>:src/code_banks/bank_83.asm:3740 | $84B3BA:<data>:src/code_banks/bank_84.asm:7098 | $B7B3BA:Text_11A_Dialog_SuggestListenVillagersLittleMore:src/data_banks/bank_B7.asm:938,$02:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$02:4@$B3B8D2,SourceLineRef_general_livestock_B3BA_code_banks_bank_83_code_banks_bank_84,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B401,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_B401_code_banks_bank_84,context_source_address_not_final_gobj,medium,1,general_livestock,,,$84B401:<data>:src/code_banks/bank_84.asm:7138,$00:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$00:27@$B38E48,SourceLineRef_general_livestock_B401_code_banks_bank_84,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B59C,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_B59C_data_banks_bank_B6,context_source_address_not_final_gobj,medium,1,general_livestock,,,$B6B59C:<data>:src/data_banks/bank_B6.asm:982,$44:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$44:2@$B59BE3,SourceLineRef_general_livestock_B59C_data_banks_bank_B6,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B59E,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_B59E_data_banks_bank_B5,context_source_address_not_final_gobj,medium,1,general_livestock,,,$B5B59E:<data>:src/data_banks/bank_B5.asm:869,$44:1,general_livestock_visual_context:1,cc_object_visual_pointer_setup:1,$44:3@$B59DD3,SourceLineRef_general_livestock_B59E_data_banks_bank_B5,context_source_address_not_final_gobj,medium,unchanged_from_pass85
