visual_or_object_ref,pass83_ref_class,pass84_resolution_class,pass84_confidence,pass85_semantic_alias,pass85_alias_class,pass85_alias_confidence,entry_count,semantic_visual_family,gobj_id_matches,anim_sequence_matches,source_address_matches,groups,domains,roles,example_entries,pass86_semantic_alias,pass86_resolution_class,pass86_alias_confidence,pass86_resolution_note
$B39D,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_B39D_data_banks_bank_B4,context_source_address_not_final_gobj,medium,4,general_livestock,,,$B4B39D:<data>:src/data_banks/bank_B4.asm:863,$01:4,general_livestock_visual_context:4,cc_object_visual_pointer_setup:4,$01:1@$B39D05 $01:1@$B39D05 $01:1@$B39D05 $01:1@$B39D05,SourceLineRef_general_livestock_B39D_data_banks_bank_B4,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B3A4,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_dog_pet_B3A4_data_banks_bank_AD_data_banks_bank_B8,context_source_address_not_final_gobj,medium,4,dog_pet,,,$ADB3A4:<data>:src/data_banks/bank_AD.asm:832 | $B8B3A4:<data>:src/data_banks/bank_B8.asm:983 | $B9B3A4:<data>:src/data_banks/bank_B9.asm:979 | $BAB3A4:<data>:src/data_banks/bank_BA.asm:987 | $BBB3A4:<data>:src/data_banks/bank_BB.asm:936,$01:4,dog_pet_visual_context:4,cc_object_visual_pointer_setup:4,$01:5@$B3A438 $01:5@$B3A438 $01:5@$B3A438 $01:5@$B3A438,SourceLineRef_dog_pet_B3A4_data_banks_bank_AD_data_banks_bank_B8,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B3CA,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_npc_family_or_romance_B3CA_data_banks_bank_B7,context_source_address_not_final_gobj,medium,4,npc_family_or_romance,,,$B7B3CA:<data>:src/data_banks/bank_B7.asm:939,$04:4,npc_family_event_visual_context:4,cc_object_visual_pointer_setup:4,$04:5@$B3CA98 $04:5@$B3CA98 $04:5@$B3CA98 $04:5@$B3CA98,SourceLineRef_npc_family_or_romance_B3CA_data_banks_bank_B7,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B3EE,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_npc_family_or_romance_B3EE_code_banks_bank_83_data_banks_bank_B5,context_source_address_not_final_gobj,medium,4,npc_family_or_romance,,,$BBB3EE:<data>:src/code_banks/bank_83.asm:4614 | $B5B3EE:<data>:src/data_banks/bank_B5.asm:842 | $BBB3EE:Text_484_Dialog_VeryActiveHavePutEye:src/data_banks/bank_BB.asm:942,$0B:4,npc_family_event_visual_context:4,cc_object_visual_pointer_setup:4,$0B:10@$B3EEEA $0B:10@$B3EEEA $0B:10@$B3EEEA $0B:10@$B3EEEA,SourceLineRef_npc_family_or_romance_B3EE_code_banks_bank_83_data_banks_bank_B5,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B580,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_B580_data_banks_bank_86_data_banks_bank_87,context_source_address_not_final_gobj,medium,4,general_livestock,,,$86B580:<data>:src/data_banks/bank_86.asm:862 | $87B580:<data>:src/data_banks/bank_87.asm:861 | $88B580:<data>:src/data_banks/bank_88.asm:860 | $89B580:<data>:src/data_banks/bank_89.asm:860 | $8AB580:<data>:src/data_banks/bank_8A.asm:860,$43:4,general_livestock_visual_context:4,cc_object_visual_pointer_setup:4,$43:0@$B58020 $43:0@$B58020 $43:0@$B58020 $43:0@$B58020,SourceLineRef_general_livestock_B580_data_banks_bank_86_data_banks_bank_87,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B599,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_B599_code_banks_bank_84,context_source_address_not_final_gobj,medium,4,general_livestock,,,$84B599:<data>:src/code_banks/bank_84.asm:7359,$44:4,general_livestock_visual_context:4,cc_object_visual_pointer_setup:4,$44:0@$B597F1 $44:0@$B597F1 $44:0@$B597F1 $44:0@$B597F1,SourceLineRef_general_livestock_B599_code_banks_bank_84,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B59D,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_B59D_code_banks_bank_84_data_banks_bank_B4,context_source_address_not_final_gobj,medium,4,general_livestock,,,$84B59D:<data>:src/code_banks/bank_84.asm:7361 | $B4B59D:<data>:src/data_banks/bank_B4.asm:895,$44:4,general_livestock_visual_context:4,cc_object_visual_pointer_setup:4,$44:2@$B59BE3 $44:2@$B59BE3 $44:2@$B59BE3 $44:2@$B59BE3,SourceLineRef_general_livestock_B59D_code_banks_bank_84_data_banks_bank_B4,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$FFF8,high_bank_pointer_or_immediate_word,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_FFF8_data_banks_bank_BB,context_source_address_not_final_gobj,medium,4,general_livestock,,,$BBFFF8:<data>:src/data_banks/bank_BB.asm:2186,$24:4,npc_family_event_visual_context:3 general_livestock_visual_context:1,cc_object_visual_pointer_setup:4,$24:0@$B4A475 $24:1@$B4A531 $24:2@$B4A55D $24:3@$B4A589,SourceLineRef_general_livestock_FFF8_data_banks_bank_BB,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$8144,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_chicken_poultry_8144_code_banks_bank_81_data_banks_bank_AD,context_source_address_not_final_gobj,medium,3,chicken_poultry,,,$818144:<data>:src/code_banks/bank_81.asm:185 | $AD8144:<data>:src/data_banks/bank_AD.asm:26,$00:3,chicken_poultry_visual_context:2 general_livestock_visual_context:1,cc_object_visual_pointer_setup:3,$00:2@$B38CDE $00:2@$B38CDE $00:93@$B3911D,SourceLineRef_chicken_poultry_8144_code_banks_bank_81_data_banks_bank_AD,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$8240,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_8240_code_banks_bank_81_data_banks_bank_86,context_source_address_not_final_gobj,medium,3,general_livestock,,,$818240:<data>:src/code_banks/bank_81.asm:318 | $868240:<data>:src/data_banks/bank_86.asm:42 | $878240:<data>:src/data_banks/bank_87.asm:41 | $888240:<data>:src/data_banks/bank_88.asm:40 | $898240:<data>:src/data_banks/bank_89.asm:40,$24:2 $00:1,npc_family_event_visual_context:2 general_livestock_visual_context:1,cc_object_visual_pointer_setup:3,$00:44@$B38F77 $24:2@$B4A55D $24:3@$B4A589,SourceLineRef_general_livestock_8240_code_banks_bank_81_data_banks_bank_86,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$8378,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_cow_livestock_8378_data_banks_bank_B3_data_banks_bank_B9,context_source_address_not_final_gobj,medium,3,cow_livestock,,,$B38378:<data>:src/data_banks/bank_B3.asm:120 | $B98378:<data>:src/data_banks/bank_B9.asm:67,$00:2 $06:1,general_livestock_visual_context:2 cow_livestock_visual_context:1,cc_object_visual_pointer_setup:3,$00:33@$B38EAA $00:35@$B38EE0 $06:6@$B3D99B,SourceLineRef_cow_livestock_8378_data_banks_bank_B3_data_banks_bank_B9,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$8768,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_8768_code_banks_bank_81_code_banks_bank_83,context_source_address_not_final_gobj,medium,3,general_livestock,,,$818768:<data>:src/code_banks/bank_81.asm:947 | $B88768:<data>:src/code_banks/bank_83.asm:3901 | $B38768:<data>:src/data_banks/bank_B3.asm:183 | $B88768:Text_1BB_Dialog_ThankHoneyHappy:src/data_banks/bank_B8.asm:157,$00:3,general_livestock_visual_context:3,cc_object_visual_pointer_setup:3,$00:19@$B38DBC $00:74@$B390AB $00:128@$B392D0,SourceLineRef_general_livestock_8768_code_banks_bank_81_code_banks_bank_83,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B584,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_dog_pet_B584_code_banks_bank_82_data_banks_bank_AD,context_source_address_not_final_gobj,medium,3,dog_pet,,,$82B584:<data>:src/code_banks/bank_82.asm:3975 | $ADB584:<data>:src/data_banks/bank_AD.asm:862 | $B7B584:<data>:src/data_banks/bank_B7.asm:971 | $B9B584:<data>:src/data_banks/bank_B9.asm:1015,$43:3,dog_pet_visual_context:2 general_livestock_visual_context:1,cc_object_visual_pointer_setup:3,$43:0@$B58020 $43:1@$B584DA $43:1@$B584DA,SourceLineRef_dog_pet_B584_code_banks_bank_82_data_banks_bank_AD,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$B5A4,bank_b3_b5_script_target_or_local_pointer,source_address_line_match,medium_source_address_match,SourceLineRef_npc_family_or_romance_B5A4_code_banks_bank_82_code_banks_bank_83,context_source_address_not_final_gobj,medium,3,npc_family_or_romance,,,$82B5A4:<data>:src/code_banks/bank_82.asm:3977 | $BBB5A4:<data>:src/code_banks/bank_83.asm:4617 | $84B5A4:<data>:src/code_banks/bank_84.asm:7363 | $ADB5A4:<data>:src/data_banks/bank_AD.asm:864 | $B7B5A4:<data>:src/data_banks/bank_B7.asm:973,$45:3,npc_family_event_visual_context:3,cc_object_visual_pointer_setup:3,$45:0@$B5A205 $45:3@$B5A484 $45:3@$B5A484,SourceLineRef_npc_family_or_romance_B5A4_code_banks_bank_82_code_banks_bank_83,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$FFE0,high_bank_pointer_or_immediate_word,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_FFE0_data_banks_bank_86_data_banks_bank_88,context_source_address_not_final_gobj,medium,3,general_livestock,,,$86FFE0:<data>:src/data_banks/bank_86.asm:2052 | $88FFE0:<data>:src/data_banks/bank_88.asm:2050 | $89FFE0:<data>:src/data_banks/bank_89.asm:2050 | $8AFFE0:<data>:src/data_banks/bank_8A.asm:2050 | $8BFFE0:<data>:src/data_banks/bank_8B.asm:2050,$00:3,general_livestock_visual_context:3,cc_object_visual_pointer_setup:3,$00:33@$B38EAA $00:38@$B38F11 $00:124@$B3922A,SourceLineRef_general_livestock_FFE0_data_banks_bank_86_data_banks_bank_88,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$1293,mid_range_value_or_table_offset,visual_param_or_non_gobj_id,medium_contextual_param,VisualParam_dog_pet_1293,visual_param_not_final_gobj,medium,2,dog_pet,,,,$00:2,dog_pet_visual_context:2,cc_object_visual_pointer_setup:2,$00:134@$B39313 $00:135@$B39313,VisualParam_dog_pet_1293,visual_param_not_final_gobj,medium,unchanged_from_pass85
$8000,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_general_livestock_8000_code_banks_bank_80_code_banks_bank_81,context_source_address_not_final_gobj,medium,2,general_livestock,,,$808000:SpawnAfterLoad:src/code_banks/bank_80.asm:4 | $818000:<data>:src/code_banks/bank_81.asm:6 | $828000:Clock_UpdateAndDispatchHourlyEvents:src/code_banks/bank_82.asm:9 | $838000:Audio_IndexStrideMultiply:src/code_banks/bank_83.asm:5 | $B68000:<data>:src/code_banks/bank_83.asm:3458,$00:2,general_livestock_visual_context:2,cc_object_visual_pointer_setup:2,$00:33@$B38EAA $00:38@$B38F11,SourceLineRef_general_livestock_8000_code_banks_bank_80_code_banks_bank_81,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$8150,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_chicken_poultry_8150_data_banks_bank_86_data_banks_bank_87,context_source_address_not_final_gobj,medium,2,chicken_poultry,,,$868150:<data>:src/data_banks/bank_86.asm:27 | $878150:<data>:src/data_banks/bank_87.asm:26 | $888150:<data>:src/data_banks/bank_88.asm:25 | $898150:<data>:src/data_banks/bank_89.asm:25 | $8A8150:<data>:src/data_banks/bank_8A.asm:25,$00:2,chicken_poultry_visual_context:2,cc_object_visual_pointer_setup:2,$00:1@$B38CD0 $00:1@$B38CD0,SourceLineRef_chicken_poultry_8150_data_banks_bank_86_data_banks_bank_87,context_source_address_not_final_gobj,medium,unchanged_from_pass85
$8258,candidate_visual_gobj_pointer_or_asset_table,source_address_line_match,medium_source_address_match,SourceLineRef_dog_pet_8258_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,2,dog_pet,,,$818258:<data>:src/code_banks/bank_81.asm:329 | $B38258:<data>:src/data_banks/bank_B3.asm:102 | $BA8258:<data>:src/data_banks/bank_BA.asm:46,$00:2,dog_pet_visual_context:2,cc_object_visual_pointer_setup:2,$00:134@$B39313 $00:135@$B39313,SourceLineRef_dog_pet_8258_code_banks_bank_81_data_banks_bank_B3,context_source_address_not_final_gobj,medium,unchanged_from_pass85
