group,label,entry,script_target,command_index,command_addr,opcode,relation,symbol,bit_or_value,extra
$02,EventScriptGroup_02,2,$B3B4E3,7,$B3B4FC,$14,read_condition,$7F1F6A,bit_$0C,
$02,EventScriptGroup_02,2,$B3B4E3,14,$B3B51D,$1C,dialog_text_id,Text_$01E0,mode_$00,
$02,EventScriptGroup_02,2,$B3B4E3,16,$B3B524,$16,read_condition,$80091E,between_$09_$0C,
$02,EventScriptGroup_02,2,$B3B4E3,17,$B3B52C,$1C,dialog_text_id,Text_$0200,mode_$00,
$02,EventScriptGroup_02,2,$B3B4E3,19,$B3B533,$1C,dialog_text_id,Text_$03B0,mode_$00,
$02,EventScriptGroup_02,2,$B3B4E3,21,$B3B53A,$14,read_condition,$7F1F6A,bit_$0C,
$02,EventScriptGroup_02,2,$B3B4E3,22,$B3B541,$1C,dialog_text_id,Text_$005A,mode_$00,
$02,EventScriptGroup_02,2,$B3B4E3,24,$B3B548,$1C,dialog_text_id,Text_$01CF,mode_$00,
$02,EventScriptGroup_02,2,$B3B4E3,30,$B3B562,$1C,dialog_text_id,Text_$01CA,mode_$00,
$02,EventScriptGroup_02,2,$B3B4E3,32,$B3B569,$16,read_condition,$80091E,between_$09_$0C,
$02,EventScriptGroup_02,2,$B3B4E3,33,$B3B571,$1C,dialog_text_id,Text_$0200,mode_$00,
$02,EventScriptGroup_02,2,$B3B4E3,35,$B3B578,$1C,dialog_text_id,Text_$03BB,mode_$00,
$02,EventScriptGroup_02,2,$B3B4E3,37,$B3B57F,$14,read_condition,$7F1F6A,bit_$0C,
$02,EventScriptGroup_02,2,$B3B4E3,38,$B3B586,$14,read_condition,$7F1F6A,bit_$0E,
$02,EventScriptGroup_02,2,$B3B4E3,39,$B3B58D,$14,read_condition,$7F1F6C,bit_$00,
$02,EventScriptGroup_02,2,$B3B4E3,40,$B3B594,$14,read_condition,$7F1F6C,bit_$02,
$02,EventScriptGroup_02,2,$B3B4E3,41,$B3B59B,$1C,dialog_text_id,Text_$03EA,mode_$00,
$02,EventScriptGroup_02,2,$B3B4E3,43,$B3B5A2,$1C,dialog_text_id,Text_$01D1,mode_$00,
$02,EventScriptGroup_02,2,$B3B4E3,46,$B3B5AD,$1C,dialog_text_id,Text_$01DD,mode_$00,
$02,EventScriptGroup_02,2,$B3B4E3,49,$B3B5B8,$1C,dialog_text_id,Text_$01E6,mode_$00,
$02,EventScriptGroup_02,2,$B3B4E3,52,$B3B5C3,$1C,dialog_text_id,Text_$01EF,mode_$00,
$02,EventScriptGroup_02,2,$B3B4E3,62,$B3B5EC,$45,read_condition,$7F1F1F,word_$0000,
$02,EventScriptGroup_02,2,$B3B4E3,63,$B3B5F6,$1C,dialog_text_id,Text_$0173,mode_$00,
$02,EventScriptGroup_02,2,$B3B4E3,64,$B3B5FA,$47,write_value_or_flag,$800921,set_$00,
$02,EventScriptGroup_02,2,$B3B4E3,65,$B3B5FF,$23,write_value_or_flag,$7F1F66,bit_$00,
$02,EventScriptGroup_02,2,$B3B4E3,66,$B3B604,$23,write_value_or_flag,$7F1F5E,bit_$07,
$02,EventScriptGroup_02,3,$B3B6E1,2,$B3B6E6,$14,read_condition,$7F1F6C,bit_$04,
$02,EventScriptGroup_02,3,$B3B6E1,7,$B3B6FA,$14,read_condition,$7F1F66,bit_$04,
$02,EventScriptGroup_02,3,$B3B6E1,8,$B3B701,$14,read_condition,$7F1F6C,bit_$04,
$02,EventScriptGroup_02,3,$B3B6E1,11,$B3B70F,$16,read_condition,$7F1F1C,between_$11_$12,
$02,EventScriptGroup_02,3,$B3B6E1,12,$B3B717,$15,read_condition,$7F1F19,eq_$03,
$02,EventScriptGroup_02,3,$B3B6E1,20,$B3B73C,$1C,dialog_text_id,Text_$01C9,mode_$00,
$02,EventScriptGroup_02,3,$B3B6E1,22,$B3B743,$16,read_condition,$80091E,between_$09_$0C,
$02,EventScriptGroup_02,3,$B3B6E1,23,$B3B74B,$1C,dialog_text_id,Text_$0200,mode_$00,
$02,EventScriptGroup_02,3,$B3B6E1,25,$B3B752,$1C,dialog_text_id,Text_$03B8,mode_$00,
$02,EventScriptGroup_02,3,$B3B6E1,27,$B3B759,$16,read_condition,$7F1F1C,between_$11_$12,
$02,EventScriptGroup_02,3,$B3B6E1,28,$B3B761,$1D,dialog_text_id,Text_$007E,mode_$00,
$02,EventScriptGroup_02,3,$B3B6E1,32,$B3B770,$23,write_value_or_flag,$7F1F5A,bit_$09,
$02,EventScriptGroup_02,3,$B3B6E1,33,$B3B775,$1C,dialog_text_id,Text_$007F,mode_$00,
