old_label,new_label,file
CODE_83C40D,Bank83_NpcSpriteLogicBranch_83C40D,src/code_banks/bank_83.asm
CODE_83C410,Bank83_NpcSpriteLogicBranch_83C410,src/code_banks/bank_83.asm
CODE_83C42A,Bank83_NpcSpriteLogicBranch_83C42A,src/code_banks/bank_83.asm
CODE_83C43E,Bank83_NpcSpriteLogicBranch_83C43E,src/code_banks/bank_83.asm
CODE_83C44D,Bank83_NpcSpriteLogicBranch_83C44D,src/code_banks/bank_83.asm
CODE_83C46D,Bank83_NpcSpriteLogicBranch_83C46D,src/code_banks/bank_83.asm
CODE_83C481,Bank83_NpcSpriteLogicBranch_83C481,src/code_banks/bank_83.asm
CODE_83C484,Bank83_NpcSpriteLogicBranch_83C484,src/code_banks/bank_83.asm
CODE_83C498,Bank83_NpcSpriteLogicBranch_83C498,src/code_banks/bank_83.asm
CODE_83C49F,Bank83_NpcSpriteLogicBranch_83C49F,src/code_banks/bank_83.asm
CODE_83C4A1,Bank83_NpcSpriteLogicBranch_83C4A1,src/code_banks/bank_83.asm
CODE_83C4B5,Bank83_NpcSpriteLogicBranch_83C4B5,src/code_banks/bank_83.asm
CODE_83C4BC,Bank83_NpcSpriteLogicBranch_83C4BC,src/code_banks/bank_83.asm
CODE_83C4BE,Bank83_NpcSpriteLogicBranch_83C4BE,src/code_banks/bank_83.asm
CODE_83C4D2,Bank83_NpcSpriteLogicBranch_83C4D2,src/code_banks/bank_83.asm
CODE_83C4D9,Bank83_NpcSpriteLogicBranch_83C4D9,src/code_banks/bank_83.asm
CODE_83C4DB,Bank83_NpcSpriteLogicBranch_83C4DB,src/code_banks/bank_83.asm
CODE_83C4EF,Bank83_NpcSpriteLogicBranch_83C4EF,src/code_banks/bank_83.asm
CODE_83C4F6,Bank83_NpcSpriteLogicBranch_83C4F6,src/code_banks/bank_83.asm
CODE_83C4F8,Bank83_NpcSpriteLogicBranch_83C4F8,src/code_banks/bank_83.asm
CODE_83C50C,Bank83_NpcSpriteLogicBranch_83C50C,src/code_banks/bank_83.asm
CODE_83C50E,Bank83_NpcSpriteLogicBranch_83C50E,src/code_banks/bank_83.asm
CODE_83C51C,Bank83_NpcSpriteLogicBranch_83C51C,src/code_banks/bank_83.asm
CODE_83C52E,Bank83_NpcSpriteLogicBranch_83C52E,src/code_banks/bank_83.asm
CODE_83C553,Bank83_NpcSpriteLogicBranch_83C553,src/code_banks/bank_83.asm
CODE_83C558,Bank83_NpcSpriteLogicBranch_83C558,src/code_banks/bank_83.asm
CODE_83C572,Bank83_NpcSpriteLogicBranch_83C572,src/code_banks/bank_83.asm
CODE_83C597,Bank83_NpcSpriteLogicBranch_83C597,src/code_banks/bank_83.asm
CODE_83C59C,Bank83_NpcSpriteLogicBranch_83C59C,src/code_banks/bank_83.asm
CODE_83C5B6,Bank83_NpcSpriteLogicBranch_83C5B6,src/code_banks/bank_83.asm
CODE_83C5DC,Bank83_NpcSpriteLogicBranch_83C5DC,src/code_banks/bank_83.asm
CODE_83C5EC,Bank83_NpcSpriteLogicBranch_83C5EC,src/code_banks/bank_83.asm
CODE_83C5FC,Bank83_NpcSpriteLogicBranch_83C5FC,src/code_banks/bank_83.asm
CODE_83C616,Bank83_NpcSpriteLogicBranch_83C616,src/code_banks/bank_83.asm
CODE_83C621,Bank83_NpcSpriteLogicBranch_83C621,src/code_banks/bank_83.asm
CODE_83C624,Bank83_NpcSpriteLogicBranch_83C624,src/code_banks/bank_83.asm
CODE_83C63D,Bank83_NpcSpriteLogicBranch_83C63D,src/code_banks/bank_83.asm
CODE_83C649,Bank83_NpcSpriteLogicBranch_83C649,src/code_banks/bank_83.asm
CODE_83C657,Bank83_NpcSpriteLogicBranch_83C657,src/code_banks/bank_83.asm
CODE_83C661,Bank83_NpcSpriteLogicBranch_83C661,src/code_banks/bank_83.asm
CODE_83C674,Bank83_NpcSpriteLogicBranch_83C674,src/code_banks/bank_83.asm
CODE_83C677,Bank83_NpcSpriteLogicBranch_83C677,src/code_banks/bank_83.asm
CODE_83C68A,Bank83_NpcSpriteLogicBranch_83C68A,src/code_banks/bank_83.asm
CODE_83C691,Bank83_NpcSpriteLogicBranch_83C691,src/code_banks/bank_83.asm
CODE_83C693,Bank83_NpcSpriteLogicBranch_83C693,src/code_banks/bank_83.asm
CODE_83C6A6,Bank83_NpcSpriteLogicBranch_83C6A6,src/code_banks/bank_83.asm
CODE_83C6AD,Bank83_NpcSpriteLogicBranch_83C6AD,src/code_banks/bank_83.asm
CODE_83C6AF,Bank83_NpcSpriteLogicBranch_83C6AF,src/code_banks/bank_83.asm
CODE_83C6C2,Bank83_NpcSpriteLogicBranch_83C6C2,src/code_banks/bank_83.asm
CODE_83C6C9,Bank83_NpcSpriteLogicBranch_83C6C9,src/code_banks/bank_83.asm
CODE_83C6CB,Bank83_NpcSpriteLogicBranch_83C6CB,src/code_banks/bank_83.asm
CODE_83C6DE,Bank83_NpcSpriteLogicBranch_83C6DE,src/code_banks/bank_83.asm
CODE_83C6E5,Bank83_NpcSpriteLogicBranch_83C6E5,src/code_banks/bank_83.asm
CODE_83C6E7,Bank83_NpcSpriteLogicBranch_83C6E7,src/code_banks/bank_83.asm
CODE_83C6FA,Bank83_NpcSpriteLogicBranch_83C6FA,src/code_banks/bank_83.asm
CODE_83C6FC,Bank83_NpcSpriteLogicBranch_83C6FC,src/code_banks/bank_83.asm
CODE_83C709,Bank83_NpcSpriteLogicBranch_83C709,src/code_banks/bank_83.asm
CODE_83C734,Bank83_NpcSpriteLogicBranch_83C734,src/code_banks/bank_83.asm
CODE_83C742,Bank83_NpcSpriteLogicBranch_83C742,src/code_banks/bank_83.asm
CODE_83C74C,Bank83_NpcSpriteLogicBranch_83C74C,src/code_banks/bank_83.asm
CODE_83C75F,Bank83_NpcSpriteLogicBranch_83C75F,src/code_banks/bank_83.asm
CODE_83C761,Bank83_NpcSpriteLogicBranch_83C761,src/code_banks/bank_83.asm
CODE_83C774,Bank83_NpcSpriteLogicBranch_83C774,src/code_banks/bank_83.asm
CODE_83C77B,Bank83_NpcSpriteLogicBranch_83C77B,src/code_banks/bank_83.asm
CODE_83C77D,Bank83_NpcSpriteLogicBranch_83C77D,src/code_banks/bank_83.asm
CODE_83C790,Bank83_NpcSpriteLogicBranch_83C790,src/code_banks/bank_83.asm
CODE_83C797,Bank83_NpcSpriteLogicBranch_83C797,src/code_banks/bank_83.asm
CODE_83C799,Bank83_NpcSpriteLogicBranch_83C799,src/code_banks/bank_83.asm
CODE_83C7AC,Bank83_NpcSpriteLogicBranch_83C7AC,src/code_banks/bank_83.asm
CODE_83C7B3,Bank83_NpcSpriteLogicBranch_83C7B3,src/code_banks/bank_83.asm
CODE_83C7B5,Bank83_NpcSpriteLogicBranch_83C7B5,src/code_banks/bank_83.asm
